Row ID,WC,Narrativity_Overall,Narrativity_Staging,Narrativity_PlotProg,Narrativity_CogTension,Staging_1,Staging_2,Staging_3,Staging_4,Staging_5,PlotProg_1,PlotProg_2,PlotProg_3,PlotProg_4,PlotProg_5,CogTension_1,CogTension_2,CogTension_3,CogTension_4,CogTension_5
1132,15881,-21.34,19.52,-22.82,-60.73,39.19,100,76.38,7.09,0,100,44.89,38.22,78.26,0,100,0,12.13,18.2,45.5
1133,1328,46.23,65.13,34.46,39.11,93.3,76.55,100,0,3.36,0,89.68,8.97,100,91,0,100,0,33.84,0.38
1134,613,37.18,66.07,4.23,41.26,88.16,88.16,100,41.8,0,45.35,52.91,0,100,39.03,65.58,65.58,65.58,100,0
1135,924,15.41,8.61,23.31,14.3,34.16,69.02,100,49.65,0,0,4.17,0,100,17.44,28.57,28.57,0,100,29.11
1136,430,55.34,96.9,6.63,62.48,100,70,30,10,0,28.57,0,100,28.57,71.43,0,100,66.67,33.33,33.33
1137,16257,38.08,89.61,10.73,13.91,100,50.82,2.14,29.94,0,35.99,0,49.73,100,64,42.39,0,100,100,69.71
1138,427,-6.34,8.27,-7,-20.28,21.49,0,100,2.15,23.89,48.91,18.02,0,100,50,32.56,65.5,0,66.67,100
1139,7907,39.43,45.78,-20.41,92.93,70.75,0,100,50.88,85.55,100,38.59,34.82,90.13,0,0,53.21,100,93.34,6.82
1140,302,34.85,69.55,-3.17,38.18,100,45.29,74.16,74.16,0,61.85,35.02,100,18.18,0,0,73.47,100,25.31,75.1
1141,316,42.32,85.03,64.4,-22.46,100,0,0,37.21,37.21,0,85.84,100,43.36,29.2,49.22,25,100,0,100
1142,33251,-4.09,-2.02,19.76,-30.02,21.36,100,29.23,52.31,0,14.86,31.97,0,100,51.02,89.54,100,6.9,0,34.48
1143,18014,10.12,79.23,-8.89,-39.97,100,55.67,34.32,62.24,0,82.69,96.15,0,100,69.55,100,85.54,12.05,0,33.82
1144,187,,,,
1145,17185,6.07,76.02,-41.31,-16.51,83.95,18.52,0,6.17,100,100,0,46.72,30.66,33.58,51.43,0,100,57.14,94.29
1146,358,28.96,56.88,24,6,48.22,0,24.11,26.66,100,0,100,0,16.7,16.7,0,49.31,98.61,0,100
1147,15326,75.48,87.48,69.32,69.63,100,84.45,23.62,27.91,0,0,87.52,100,54.61,55.75,9.39,20.75,98.11,100,0
1148,15079,54.51,55.39,36.68,71.45,91.78,73.09,74.59,100,0,52.5,84.72,100,83.05,0,4.4,100,60.21,30.37,0
1149,18622,22.62,52.85,11.55,3.45,63.57,75.69,3.03,0,100,4.71,100,0,4.77,95.31,59.98,39.98,100,0,20
1150,15498,-34.91,17.98,-54.23,-68.47,16.6,0,36.51,8.69,100,100,29.52,20.04,0,42.66,100,12.05,12.05,0,66.74
1151,5121,24.11,69.44,26.28,-23.39,100,55.76,0,91.24,65.9,0,10.55,100,10.55,33.55,43.63,0,43.75,100,93.75
1152,1867,2.88,10.66,20.17,-22.2,36.08,48.55,100,68.75,0,30.99,100,53.22,0,5.32,74.57,37.17,0,100,62.5
1153,293,24.54,92.05,-2.3,-16.13,100,69.11,15.05,23.57,0,58.59,78.11,0,100,100,49.15,0,0,100,50
1154,13781,27.67,34.82,23.92,24.27,69.1,100,63.91,96.45,0,37.66,25,100,63.73,0,12.91,31.48,100,0,30.56
1155,11921,-0.43,87.42,-54.09,-34.63,100,30.51,7.32,0,73.22,100,31.72,21.96,0,12.2,66.64,66.67,66.67,0,100
1156,15427,14.82,61.51,-18.11,1.04,100,0,64.03,97.79,40.27,44.86,0,59.88,15.69,100,24.58,0,100,41,75.42
1157,18981,41.13,55.26,19.93,48.2,65.28,100,65.43,28.72,0,21.75,0,38.54,100,14.58,23.02,100,25.64,48.72,0
1158,1633,69.09,66.51,56.65,84.12,100,86.36,0,69.23,23.63,0,87.51,81.68,53.19,100,0,71.18,71.18,100,0.04
1159,135,,,,
1160,16527,-4.4,76.76,-44.46,-45.52,100,74.16,91.23,22.81,0,100,80.8,14.77,0,29.91,23.06,0,42.33,42.33,100
1161,6843,-41.44,-14.46,-47.43,-62.44,0,100,0,44.3,47.81,100,0,37.21,7.27,46.83,100,41,12.78,0,53.91
1162,314,-7.38,77.98,-35.45,-64.66,89.85,100,28.97,18.82,0,100,83.33,0,33.33,17.74,49.21,0,24.6,0,100
1163,17444,25.95,58.41,30.18,-10.73,100,67.01,8.95,92.08,0,55.65,100,84.86,61.06,0,95.65,30.43,100,0,4.46
1164,1054,30.86,26.26,3.69,62.63,45.39,100,21.99,45.39,0,86.59,86.59,100,59.76,0,0,100,66.67,50,50.56
1165,15396,14.32,48.76,-3.7,-2.11,87.18,88.29,98.2,100,0,81.59,44.1,58.08,100,0,91.77,10.2,40.82,100,0
1166,20337,2.83,0.48,-16.29,24.3,35.16,96.05,74.44,100,0,94.81,100,95.66,0,66,10.42,100,94.88,0,73.79
1167,15232,42.44,69.42,24.11,33.78,100,94.27,97.5,65.96,0,29.43,100,85.86,0,36.25,23.03,53.78,100,0,17.95
1168,17464,-10.55,-3.32,-33.32,5,22.41,28.38,69.5,100,0,100,74.68,64.29,0,10.55,46.67,36.67,0,100,31.82
1169,17322,-6.66,3.95,-9.04,-14.89,32.41,100,16.9,95.78,0,32.28,0,65.46,15.16,100,100,18.69,90.71,6.26,0
1170,36877,11.21,-34.3,44.92,23,0,6.69,66.55,100,79.93,0,100,58.71,37.44,77.56,0,84.5,31.98,68.05,100
1171,17403,-7.99,85.99,-40.7,-69.27,100,10.85,0,4.7,72.94,64.25,9.52,0,47.63,100,89.97,0,19.99,30,100
1172,16305,10.97,-23.66,24.28,32.29,9.92,48.09,100,80.15,0,15.38,100,0,75.82,4.4,53.33,100,30,43.33,0
1173,690,33.83,54.4,-42.24,89.32,87.5,100,100,0,75,100,55.56,33.33,22.22,0,0,100,100,50,0
1174,13877,-25.16,-33.31,-20.37,-21.79,0,49.91,100,44.53,18.64,100,71.85,46.93,65.7,0,0,30.42,17.41,43.49,100
1175,1661,12.37,4.84,36.61,-4.32,18.6,46.67,86.67,0,100,3.54,100,72,0,32,9.79,80,50,0,100
1176,16990,-1,46.93,-24.48,-25.44,61.39,11.88,64.36,0,100,100,0,100,23.76,19.8,70.53,48.42,100,0,96.84
1177,196,,,,
1178,17141,17.42,25.85,24.87,1.53,45.46,33.86,100,51.97,0,0,65.03,16.73,35.05,100,81.76,80,0,100,25.45
1179,21783,46.06,68.07,1.96,68.16,100,96.94,69.37,77.62,0,96.63,100,81.45,86.58,0,0,17.06,65.81,100,7.35
1180,13680,-7.92,88.93,-57.97,-54.73,100,44.93,53.62,30.43,0,100,0,1.85,0,1.85,100,2.94,0,0,2.94
1181,470,32.59,18.34,40.3,39.14,42.86,100,92.86,0,100,16.67,100,66.67,16.67,0,16.67,100,50,0,16.67
1182,3818,-36.59,-23.9,-18.66,-67.23,0,84.65,29.63,83.05,100,100,92.08,84.16,18.5,0,100,38.05,9.46,0,71.58
1183,24531,-8.44,1.13,12.48,-38.91,25.7,48.05,44.16,100,0,20.03,100,34.67,0,80.4,59.11,70.42,45.07,0,100
1184,10253,-7.11,65.99,-58.26,-29.08,66.63,0,0,0,100,100,0,0,0,0,0,39.97,0,20.02,100
1185,15672,-18.35,-21.6,-7.16,-26.28,0,67.51,100,7.15,40.91,66.08,63.26,0,100,59.86,100,85.1,0,44.72,31.95
1186,20687,-30.77,-31.04,-35.06,-26.2,0,46.71,100,46.2,68.14,100,73.08,8.97,37.39,0,100,97.43,56.45,0,46.19
1187,336,0,-31.68,-20.66,52.34,0,100,100,37.61,37.61,100,85.86,51.52,51.52,0,0,50,25,100,25
1188,2600,52.71,96.54,26.68,34.91,100,67.5,17.5,0,22.5,29.73,62.16,100,10.81,0,50,100,25,62.5,0
1189,686,-11.69,-17.4,-9.16,-8.5,15.62,61.11,100,61.11,0,13.04,21.43,14.29,0,100,98.91,100,0,100,50
1190,1171,-18.72,32.04,-32.31,-55.88,59.23,60,66.67,100,0,65.36,40,33.33,0,100,100,71.87,0,14.37,71.87
1191,18525,54.55,95.05,34.4,34.2,100,73.04,44.35,13.04,0,0,9.42,29.17,100,1.81,9.46,41.89,0,100,9.46
1192,3591,-45.28,-24.22,-39.6,-72.03,0,100,66.83,33.66,80.65,100,12.62,0,63.1,18.93,100,25.09,0,0,75.26
1193,15042,53.79,57.14,39.01,65.21,75.53,100,53.54,58.13,0,0,100,19.45,88.52,40.88,0,71.33,100,19.14,19.14
1194,734,29.88,86.88,-7.08,9.84,100,77.27,40.91,0,55.42,72.73,100,0,63.64,10.21,100,100,66.51,33.03,0
1195,21343,14.08,47.74,-39.85,34.35,75.91,18.21,100,55.81,0,100,49.96,45.79,21.55,0,24.08,3.4,37.87,100,0
1196,417,21.56,32.26,5.84,26.59,52.01,82.42,100,30.77,0,47.3,100,0,80,80,33.06,100,67.74,0,33.87
1197,4326,12.2,76.8,-12.13,-28.08,85.32,100,30.93,0,5.15,94.17,51.85,100,48.15,0,0,10.44,13.88,62.11,100
1198,3843,11.93,92.14,2.13,-58.48,100,61.97,18.5,29.92,0,68.44,97.13,100,0,14.36,100,29.54,19.68,0,39.51
1199,15163,24.8,-30.2,72.7,31.91,0,92.06,47.79,100,62.04,0,79.21,100,63.42,81.75,0,19.54,100,21.86,44.86
1200,25485,28.83,52.1,38.04,-3.65,37.84,6.31,0,45.05,100,0,100,43,16,34,0,38.46,7.69,73.08,100
1201,16166,42.84,91.62,5.85,31.04,100,77.04,23.19,23.19,0,45.74,7.34,41.28,100,0,57.04,47.62,42.86,100,0
1202,16024,-28.93,-17.42,-11.02,-58.36,3.34,27.81,100,18.02,0,59.33,63.37,0,83.6,100,20.81,0,24.97,41.62,100
1203,18512,32.07,56.76,19.02,20.44,96.66,86.9,83.73,100,0,50.13,100,47.29,50.46,0,41.64,100,20.85,2.08,0
1204,16230,26.4,51.36,-4.46,32.31,73.89,98.89,100,15,0,100,93.57,66.08,88.89,0,22.73,18.18,18.18,100,0
1205,26574,30.58,39.91,-13.17,65,64.71,0,53.68,100,10.48,94.85,79.38,100,20.48,0,56.24,73.43,100,95.31,0
1206,338,23.21,5.31,11.3,53.03,10.71,38.87,38.87,0,100,76.76,76.76,76.76,100,0,65.2,65.2,98.04,100,0
1207,1038,-12.73,25.86,-12.67,-51.37,39.08,100,45.85,0,0,17.91,30.35,5.47,0,100,99.52,0,56.87,57.14,100
1208,23079,25.24,65.51,-1.13,11.33,83.53,0,57.04,33.95,100,66.67,100,85.71,0,35.11,47.8,100,8.64,4.29,0
1209,16663,26.14,10.66,21.76,45.99,23.54,100,6.4,0,9.23,37.01,89.88,100,0,15.75,16.64,100,18.72,45.86,0
1210,1641,-12.7,41.71,-32.12,-47.7,52.44,100,50,0,37.5,99.27,0,21.74,100,82.61,39.82,0,50,40,100
1211,314,20.11,88.3,-32.69,4.72,100,70,60,0,20.32,100,100,40,0,10.16,50,100,0,0,0
1212,4650,18.12,75.41,-15.68,-5.38,100,64,85.33,0,17.33,89.06,65.63,100,3.13,0,59.09,100,0,27.27,31.82
1213,15737,-24.7,-9.35,-23.21,-41.54,0,3.61,41.68,30.3,100,92.59,100,66.71,0,55.59,99.96,0,80,60.01,100
1214,36093,35.08,7.4,45.2,52.64,18.27,0,4.06,100,43.14,17.82,100,78.87,24.27,0,67.49,100,73.74,73.79,0
1215,1148,5.95,16.41,-32.97,34.42,32.02,100,49.02,0,59.74,42.45,18.87,0,24.2,100,0,24.76,74.27,75.14,100
1216,583,65.53,51.16,95.03,50.4,61.38,100,35.63,0,51.94,0,73.5,97.99,100,100,49.15,98.72,49.15,100,0
1217,339,24.77,20.35,47.98,5.99,37.5,50,100,0,40.49,0,16.67,33.33,100,51.99,0,98.53,0,49.26,100
1218,4889,22.77,82.04,-7.77,-5.96,100,78.43,62.75,0,51.47,88.37,97.67,0,100,21.3,82.98,0,100,97.87,59.69
1219,210,,,,
1220,15533,12.79,-39.33,17.27,60.42,0,29.44,62.16,100,55,68.99,100,93.36,48.74,0,32.38,40.49,100,51.41,0
1221,19435,41.23,39.59,-7.62,91.7,69.38,60.77,79.9,100,0,65.12,12.1,100,27.05,0,4.76,100,90.48,71.43,0
1222,20397,5.79,-19.38,28.91,7.84,0,3.74,100,43.93,53.9,7.33,0,100,50.52,73.43,100,81.81,69.76,42.46,0
1223,20372,-7.42,-1.08,28.61,-49.79,20,100,83.74,0,63.27,4.88,44.34,100,0,39.47,89.94,82.44,32.5,0,100
1224,330,51.84,57.4,51.1,47.01,73.33,100,66.67,53.33,0,0,100,80,20,0,25,0,100,100,0
1225,19141,4.62,63.3,-33.84,-15.59,95.36,100,0,69.03,62.83,100,0,14.37,72.34,6.94,100,43.08,0,79.21,5.56
1226,4831,-14.02,5.79,-20.94,-26.91,23.57,100,0,39.39,12.12,97.71,52.83,100,7.55,0,100,41.55,34.63,24.24,0
1227,30565,-19.21,-25.73,16.45,-48.34,0,93.33,100,30,81.11,38.64,0,100,79.55,13.64,100,0,69.23,15.38,88.46
1228,661,16.04,8.22,6.61,33.29,15.66,77.78,0,5.56,100,31.5,7.14,100,7.14,0,49.62,12.5,100,75,0
1229,2193,9.2,-21.35,-10.39,59.33,0,48.28,100,14.56,45.67,42.01,45.83,0,65.55,100,0,72.99,33.18,100,20.19
1230,15812,36.6,37.29,23.17,49.34,52.68,100,70.54,0,39.91,20.89,70.45,6.72,100,0,20.92,10.4,100,57.89,0
1231,1380,40.7,58.04,11.4,52.66,100,13.04,82.61,82.61,0,45.45,95.45,0,100,36.36,0,100,22.22,66.67,11.11
1232,16294,26.71,89.57,-24.59,15.16,100,60.68,62.02,25.39,0,80.19,100,32.08,0,29.33,29.41,100,58.82,0,53.04
1233,1714,42.29,89.28,38.88,-1.29,100,66.67,55.56,0,28.85,0,21.05,21.05,100,37.66,31.25,6.25,0,100,43.97
1234,34073,5.84,73.96,-16.74,-39.71,95.4,37.1,0,84.1,100,29.45,0,28.17,38.53,100,100,37.14,0,65.76,45.75
1235,17383,17.22,76.27,-28.93,4.31,87,100,20.09,2.96,0,92.43,100,12.95,14.6,0,88.24,100,19.12,47.07,0
1236,19409,63.9,74.37,36.24,81.08,100,16.26,66.67,0,9.94,0,61.61,12.48,85.01,100,0,100,100,63.41,51.3
1237,17297,44.81,78.49,8.47,47.47,100,93.03,64.82,56.61,0,82.89,69.36,90,100,0,56.05,58.49,68.29,100,0
1238,16988,42.92,45.89,-0.12,82.99,82.1,80.99,96.54,100,0,78.7,63.21,47.72,100,0,27.74,100,80.54,70.89,0
1239,328,14.42,-20.12,1.88,61.49,8.74,100,69.58,30.89,0,73.36,32.32,73.36,100,0,32.83,32.83,98.48,100,0
1240,3479,25.34,26.2,-46.16,95.99,45.71,0,100,77.14,54.89,100,69.7,27.27,0,36.8,0,57.14,92.86,100,35.92
1241,27510,13.18,21.26,-2.44,20.74,48.78,68.29,0,100,1.22,95.18,100,81.93,64.46,0,84.38,100,43.75,59.38,0
1242,3867,-22.57,26.28,-29.16,-64.82,28.71,28.71,0,79.41,100,98.33,100,55.18,0,46.82,80.77,37.97,23.81,0,100
1243,18064,41.05,73.54,17.7,31.89,100,82.19,64.38,0,83.85,0,47.36,52.48,1.28,100,17.86,100,75,0,42.92
1244,24802,36.04,57.26,32.69,18.16,74.02,0,4.61,100,80.07,4.87,14.09,30.5,100,0,12.34,0,41.99,100,69.14
1245,372,29.6,90.61,28.68,-30.48,100,65.5,0,17.48,0,0,26.71,100,9.75,54.87,49.33,0,83.33,33.33,100
1246,7386,9.79,60.97,27.18,-58.78,77.17,100,70.69,0,46.55,9.76,30,15,100,0,84.46,0,46.15,0,100
1247,18741,21.24,7.71,8.7,47.3,32.86,70.25,100,42.98,0,31.87,28.8,0,100,9.6,33.89,30.36,55.36,100,0
1248,34311,10.03,75.33,-14.36,-30.87,100,62.86,35.76,68.97,0,100,52.45,65.26,84.77,0,100,0,22.23,44.46,0
1249,293,53.17,65.27,40.32,53.93,100,47.75,100,0,26.58,0,100,25,77.59,77.59,0,50,100,1.29,1.29
1250,17419,19.32,80.74,29.22,-52.01,100,50.94,0,65.09,91.74,0,96.52,4.44,76.55,100,57.55,57.55,0,39.38,100
1251,17921,-11.2,-27.6,24.81,-30.82,0,100,58.14,35.97,28.58,11.15,61.25,100,0,66.88,49.8,92.86,0,21.43,100
1252,584,15.86,-45.76,17.3,76.03,0,75,75,100,80.6,20,100,20,0,1.47,0,100,66.67,100,33.91
1253,15179,6.23,87.44,-8.91,-59.84,100,0,10.95,5.24,40.97,90.06,100,88.89,19.29,0,100,2.08,2.08,0,18.76
1254,1127,19.95,36.72,-18.67,41.81,47.34,100,43.28,0,33.66,85.6,0,73.54,100,100,54.82,32.69,100,77.78,0
1255,15583,0.29,81.08,-21.51,-58.7,100,31.96,46.28,51.35,0,26.26,15.52,12.83,0,100,74.12,0,45.12,19.41,100
1256,16044,21.81,59.15,40.13,-33.86,96.43,73.21,0,100,52.24,0,2.01,62.34,61,100,3.44,24.11,0,48.22,100
1257,17644,-15.63,6,-34.98,-17.91,29.85,96.27,100,0,33.77,100,75,0,50,41.02,71.11,0,100,31.11,57.84
1258,553,-16.22,-0.95,-45.2,-2.51,6.46,56.01,31.23,0,100,100,60,0,31,31,100,66.67,66.67,33.64,0
1259,31289,-15.95,22.63,-10.39,-60.1,38.89,0,100,16.67,25.59,93.38,86.75,0,100,0.74,100,17.86,0,37.5,55.42
1260,1777,-4.02,-7.9,-3.37,-0.78,6.04,39.28,0,86.67,100,92.82,100,93.63,43.21,0,74.68,74.68,100,0,37.5
1261,470,-10.52,53.23,-33,-51.78,66.67,33.33,0,100,100,100,66.67,66.67,0,83.33,100,0,66.67,0,100
1262,21185,8.99,84.21,-34.56,-22.69,100,59.64,69.82,4.73,0,100,77.07,61.15,0,34.39,100,40.62,53.13,15.63,0
1263,427,37.4,71.02,41.23,-0.06,100,35.47,0,93.28,74.62,0,97.42,100,26.07,100,50,100,50.59,0,50.59
1264,16258,0.53,-13.29,-5.08,19.95,6.59,0,100,52.18,33.01,52.08,0,100,29.23,41.73,20,0,100,40.06,40.06
1265,6521,43.85,96.44,-9.87,44.98,100,65.29,10.88,0,21.76,33.61,30.77,0,63.08,100,0,35.8,25.1,100,46.5
1266,21329,15.01,92.23,-32.92,-14.28,100,67.35,37.46,0,41.96,100,40.26,73.6,5.53,0,100,66.67,88.89,0,22.24
1267,16370,-14.69,39.58,-21.41,-62.23,63.75,57.5,100,75,0,100,57.38,86.89,34.43,0,30.56,0,25,19.44,100
1268,18047,3.95,59.99,-23.05,-25.1,59.27,0,29.02,15.76,100,98.43,0,63.8,100,65.25,100,0,70.9,79.24,54.23
1269,22123,-4.36,24.9,7.54,-45.5,46,70.26,100,48.53,0,63.17,49.89,51.45,100,0,25.7,0,39.97,57.17,100
1270,18663,51.14,56.81,16.05,80.55,82.82,100,28.31,62.82,0,49.08,22.73,100,73.72,0,24.61,82.09,100,39.57,0
1271,3406,8.68,-35.5,64.71,-3.18,0,100,71.28,76.35,78.04,0,73.99,56.3,100,47.97,36,9.09,100,0,45.45
1272,15514,-37.59,-38.35,-33.68,-40.73,0,50.91,100,74.55,16.75,100,65.28,49.96,29.54,0,100,78.95,26.32,0,36.93
1273,15815,50.65,92.58,41.57,17.81,100,46.01,47.24,21.47,0,0,46.79,25.69,100,15.6,0,15.15,9.09,100,66.67
1274,999,29.14,25.32,9.09,53.02,42.11,0,100,10.53,38.16,40,66.67,0,100,61.04,66.5,66.5,100,100,0
1275,287,47.69,71.38,53.44,18.26,100,14.16,52.41,0,87.35,0,38.26,61.07,100,2.68,0,98.28,100,0,100
1276,438,-1.27,34.12,38.15,-76.08,57.73,28.07,8.3,100,0,0,0,100,52.11,1.53,95.6,0,0,3.3,100
1277,393,29.21,46.04,27.38,14.2,61.64,100,74.43,0,38.85,0,19.31,0,100,41.34,0,0,49.37,100,100
1278,5171,17.57,20.79,70.5,-38.57,44.41,20,67.5,100,0,0,67.15,100,56.2,69.58,100,61.17,13.01,0,3.9
1279,815,-0.46,49.25,-27.33,-23.3,73.33,80,100,0,53.33,40.74,37.04,0,7.41,100,0,20,40,20,100
1280,385,20.63,55.68,9.1,-2.89,75,0,58.33,100,66.67,33.33,100,22.22,0,0,33.33,100,0,33.33,66.67
1281,244,,,,
1282,16487,30.62,52.03,-2.27,42.1,83.95,43.13,39.17,100,0,68.83,100,5.67,68.03,0,37.36,37.36,43.75,100,0
1283,15568,34.79,82.93,11.28,10.17,100,65.22,77.64,32.31,0,75.98,100,61.3,90.77,0,100,61.09,61.09,83.41,0
1284,2573,56.73,28.87,59.65,81.67,50,100,0,57,28.82,0,29.78,99.26,70.17,100,0,66.24,66.24,100,0.45
1285,622,28.79,95.66,-17.23,7.95,100,68.27,31.98,0,26.65,81.26,0,34.47,100,18.09,40,100,40.32,0,40.32
1286,274,-47.62,-40.66,-26.13,-76.07,0,60,100,60,45.93,36.57,0,24.38,24.38,100,49.09,0,0,0,100
1287,599,-19.58,-13.02,-36.67,-9.07,0,100,33.33,0,69.19,100,0,54.55,36.36,19.02,100,0,100,100,50.42
1288,20862,12.49,32.04,-18.78,24.22,45.48,100,42.29,25.04,0,23.53,0,7.57,40.29,100,5.79,52.84,0,100,55.88
1289,1437,63.13,93.06,61.19,35.13,100,60.95,47.02,0,23.51,0,28.22,38.64,100,81.12,0,69.64,80.03,50.09,100
1290,16615,12.08,-12.1,-39.85,88.19,0,100,7.14,2.38,26.19,100,0,55.63,14.57,19.87,0,42.11,100,100,63.16
1291,530,32.22,84.56,28.21,-16.1,100,75,41.67,50,0,0,25,0,100,37.5,100,0,0,100,0
1292,1212,15.17,83.32,33.61,-71.42,100,63.75,0,50.96,43.68,7.17,76.12,100,0,42.31,30.59,0,7.84,38.56,100
1293,22758,-25.59,13.87,-44.95,-45.67,35.64,82.67,100,0,79.23,100,48.85,0,46.63,70.6,100,53.85,0,46.27,50.12
1294,16945,3.99,72.08,-33.64,-26.47,100,87.75,0,51.96,16.67,95.83,0,55.21,68.75,100,100,0,25,89.58,33.33
1295,19115,-7.95,-45.54,-13,34.69,0,68.66,100,74.63,77.61,88.46,100,0,89.74,67.31,14.04,85.96,0,100,21.05
1296,16132,6.76,75.16,-32.91,-21.98,86.23,32.01,0,71.19,100,100,38.73,0,86.7,65.02,81.77,25.72,0,100,47.73
1297,13732,-18.15,-7.73,0.45,-47.18,0,57.76,27.77,1.29,100,5.45,0,36.41,10.98,100,0,15.38,0.02,15.4,100
1298,10471,20.63,38.3,-10.52,34.1,62.47,0,100,0,0,99.95,100,0,100,0,0,100,0.03,66.68,33.35
1299,14716,12.78,35.5,-22.93,25.77,60.5,100,60.81,72.97,0,100,10.7,74.88,62.24,0,78.48,58.93,57.14,100,0
1300,25301,53.97,69.32,2.4,90.19,100,81.47,84.53,76.89,0,91.14,88.77,100,65.35,0,10.91,57.81,100,90.62,0
1301,2758,13.35,76.76,19.72,-56.43,100,0,38.46,24.75,86.4,3.31,86.14,0,43.58,100,99.74,0,44.33,55.59,100
1302,481,-3.91,26.31,-26.43,-11.6,35.46,0,80,60,100,100,79.32,67.99,22.66,0,98.97,0,100,66.67,33.33
1303,99,,,,
1304,15736,38.36,82.7,40.9,-8.53,100,41.22,59.69,0,40.51,24.9,100,55.17,50.86,0,56.04,100,14.63,0,31.71
1305,16836,61.78,49.98,47.53,87.82,67.95,100,34.29,0,91.43,0,30.27,100,35.64,36.71,0,100,80.15,80.15,0.74
1306,312,34.87,71.64,2.77,30.21,100,38.82,0,82.89,41.45,23.94,0,51.35,51.35,100,25,100,50.81,0,25.4
1307,10782,36.56,69.2,-10.53,51,100,0,66.7,0,0,99.95,99.95,0,100,0,0,99.93,75.01,75.01,100
1308,20512,-19.88,1.65,-32.76,-28.53,28.28,79.88,25.81,100,0,100,55.23,61.67,25.34,0,100,92.53,67.21,0,59.74
1309,539,13.18,67.73,3.45,-31.63,100,83.33,100,0,36.45,69.66,100,49.43,49.43,0,66.67,0,0,100,68.22
1310,609,11.16,54.37,10.93,-31.82,64.88,75.69,21.63,0,100,89.89,100,89.89,100,0,83.33,100,50,0,84.16
1311,15951,5.73,-9.56,47.02,-20.29,6.09,100,12.35,9.88,0,0,89.48,33.35,100,100,0,23.82,33.35,38.11,100
1312,23150,41.21,39.22,44.92,39.5,52.42,100,18.55,25.81,0,11.87,100,48.86,50.68,0,68.75,100,60.42,47.92,0
1313,867,10.36,12.21,-18.43,37.3,26.31,81.55,0,61.11,100,98.96,76.36,100,4.55,0,0,29.74,100,10.26,30.2
1314,14591,-14.4,-28.07,-27.28,12.14,0,51.63,29.64,100,91.21,100,81.56,76.25,0,7.96,42.99,100,63.29,0,45.57
1315,28817,43.81,72.75,26.58,32.09,100,78.6,71.18,73.5,0,60.86,92.54,78.47,100,0,100,95.65,93.51,78.28,0
1316,17288,43.88,44.61,3.19,83.86,79.67,0,99.79,100,43.65,35.51,100,24.09,0,51.74,4.71,100,97.62,38.13,0
1317,18938,-13.02,-31.46,-26.58,18.98,0,27.96,41.16,62.29,100,100,91.11,46.65,31.13,0,100,100,87.5,37.51,0
1318,14893,-27.11,-14.61,-21.54,-45.17,5.57,100,66.19,0,37.32,84.2,25.55,0,100,35.52,100,37.5,0,79.26,75.09
1319,16688,14.5,-11.71,35.62,19.58,11.71,0,73.37,100,47.69,16.73,0,80.94,100,36.67,41.18,0,100,82.39,44.15
1320,33054,65.91,72.2,54.44,71.09,69.81,0,5.87,43.71,100,1.69,41.38,100,41.99,0,0,19.57,71.74,100,2.24
1321,20074,15.42,68.34,40.33,-62.41,77.8,53.7,0,70.13,100,11.44,11.44,100,77.86,0,83.15,0,24.95,58.21,100
1322,928,18.56,60.8,-24.36,19.25,100,25.53,73.72,88.09,0,80,100,0,22.59,42.7,0,100,40,20.22,80.54
1323,14533,25.91,46.34,-30.89,62.28,78.9,100,95.09,85.9,0,100,0,53.51,74.68,49.23,0,60,100,65.13,85.14
1324,1225,22.69,26.32,52.23,-10.49,40,0,26.67,100,26.67,0,100,50,60,60,0,6.67,40,66.67,100
1325,20335,-37.54,-28.12,-40.46,-44.05,0,65.85,47.15,100,13.01,100,51.08,0,41.73,5.04,100,42.86,0,25.71,17.14
1326,15687,54.68,45.99,31.98,86.06,78.05,100,87.83,87.14,0,0,12.38,11.67,100,42.22,0,53.82,69.24,100,38.48
1327,16549,28.39,77.35,45.96,-38.16,100,73.23,78.58,59.84,0,0,39.13,100,32.61,58.79,100,44.64,71.43,0,57.18
1328,408,9.94,68.42,-15.83,-22.77,100,0,66.67,53.29,19.55,100,71.28,100,29.08,0,100,100,0,0,0
1329,29466,65.99,70.95,44.4,82.63,100,79.39,0,73.28,55.57,0,12.09,100,52.05,57.19,0,87.51,100,55.03,42.54
1330,579,25.55,11.36,17.06,48.23,28.57,50,100,0,51.8,16.67,0,16.67,100,35.94,0,100,25,50,25.22
1331,388,-2.26,69.43,-53.38,-22.82,100,100,0,56.17,56.17,100,0,0,29.68,44.16,100,100,0,0.65,0.65
1332,15897,-17.82,-23.73,-18.66,-11.08,0,31.82,20.22,100,83.88,63,100,6.85,0,53.46,66.66,100,50.03,0,50.03
1333,544,22.91,73.05,27.07,-31.38,100,0,58.82,5.88,24.84,63.51,100,90.88,72.64,0,100,0,33.33,33.33,0
1334,20935,-6.54,-0.74,-18.27,-0.62,9.56,0,48.12,59.39,100,86.36,100,72.73,0,75.76,100,57.14,28.57,85.71,0
1335,6742,-15.48,9.98,-29.97,-26.46,43.78,77.58,100,95.59,0,88.51,100,28.74,0,37.37,100,37.26,0,75.34,25.11
1336,2259,15.53,63.43,-14.44,-2.4,78.71,100,63.5,51.33,0,95.65,100,89.12,8.64,0,75,37.5,0,100,12.78
